"HITID","First","Second","Third","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"3QMELQS6Y5C8IPA68K2SQNRNMJER66","instantly me solemnly below strict feminine projected  My rid","whereas  Kay tube today his wet two the of","Stan means that hope I and Kelsey Ann Miss of","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:01:56 UTC 2014"
"3QTFNPMJC6JPR12PHIIME1F8QQMNZ5","have week finde till I your seldom keepes leather","Krims of by long alone their unusual open all","grand previous those or confirm to down boils which resolution","A2WGW5Y3ZFBDEC","Third","A3Q92WMGIHEPSD","Third","Yes","Third","Tue Dec 09 05:59:11 UTC 2014"
"3O0M2G5VC63OZ2A6VF9R247FK6349C","d down invaders  beheaded solemnly thy ourselves pleasure conscientious","terribly Yet enough a whether voice of  are","been has he that given clock the discharging statement the","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:04:12 UTC 2014"
"3DTJ4WT8BDGLXVPCOJF3OELZCYMEZ8","His family whale eye invisible Miss Frenchmen twice lay lawyer","stood certain  not seeing exchanged least  on cannot","testimony of members and  Dey Joe including  Clipper","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:03:53 UTC 2014"
"375VMB7D4JKUAZM2SKGXI10OG9IDIG","thou pledge your nothing  Came Joab Let Erskine how","by in calls the colt  draw strains to","Wexler subpoenas jury grand the against did they know I","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:01:47 UTC 2014"
"378G7J1SJLZH30K7DWVWPARHVWIEWI","cornet mine Foole few particular For Alone chosen walking crooked","fists the strode ordinances Thursday the she have","baserunner  schools to means provide will It  out","A2V3P1XE33NYC3","Third","AIQ1I6ODSIO56","Third","Yes","Third","Tue Dec 09 06:01:51 UTC 2014"
"3THR0FZ95PUN4XLX3WRQLB4F1RJLOZ","had common His Azriel  From steps didn daughter us","independent neonlighted he education yesteryear six Verbal  insurrections this","pm 6 from 4 April for Authority Redevelopment Eastwick","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 05:59:09 UTC 2014"
"3AFT28WXLF3LEWDRITUDTVCNKNPIOI","like probably common even estimation Jesus my same messenger not","one How with Ryan literary boats It of on Antinomians","MacDonald Malcolm  wife and Mr  bombing the","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 05:58:59 UTC 2014"
"3QMELQS6Y5C8IPA68K2SQNRNMJF6RM","Philip TWO morning 19 ye crosses other out last naked","literary boats It of on Antinomians pass in She the","Tarrant  suitcases throw   now and selfish","A2QH1BQA6GR48O","Third","A2YAYHZYI7M3HD","Third","Yes","Third","Tue Dec 09 06:04:16 UTC 2014"
"3SBNLSTU6U6G5PBCSO4JIW3ECMKZDZ","not committed fear same It hide  not calling good","of as as be be defines the what coming voters","was it about practice batting lifetime Willies  Coliseum Memorial","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:01:13 UTC 2014"
"3VP28W7DUNLD39P8JUZ96W6ZOZ0ZFA","as had common His Azriel  From steps didn daughter","and grain on to would in  for in","for Wagner Mayor The  tolerated be will He","A3ITZNJQUTIZ4C","Third","AEVU71Z2FDTUX","Third","Yes","Third","Tue Dec 09 06:00:50 UTC 2014"
"3QQUBC64ZEF0M62AG0U1HGZXIQONX8","Nehemiah  a Of metaphysics  proving what basket","as he thirddimensional Rusk the which  reached on it","Willies  Coliseum Memorial Baptist in conservatives and territories trust","A2QLSHXNCHBRN4","Third","A2WGW5Y3ZFBDEC","Third","Yes","Third","Tue Dec 09 06:01:09 UTC 2014"
"3R15W654VDUQP9YDI9JUAGZFGS1LQ7","consumptive these named oil infer His rejoice cutlet  My","or the The to of nation that of born","Air the in votes Texas the of end the authorize","A2QLSHXNCHBRN4","Third","A2WGW5Y3ZFBDEC","Third","Yes","Third","Tue Dec 09 06:27:23 UTC 2014"
"32L724R85LL3ZWPSXT7SIVHDUSLIPZ","our herself Brut constant same rested plucked I 33 servant","The Minutemen days excellently and after   of county","Musial Stan means that hope I and Kelsey Ann Miss","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:04:01 UTC 2014"
"33Q5P9PUSPN60X5YSS98YQLWRM8ZCZ","occupation close presume our sent hands after go admiration ox","is number  a  it Three tariff therefore society","else anyone how to children bridegrooms the of verification for","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:04:57 UTC 2014"
"3P6ENY9P79XBMFR4EGZN9MFM81CHIU","among mazarin  understandeth auditors hands make against revolutionary will","time plenty come one point many direction   Af","Washington in problem churchstate classical more aid for million 700","A2QLSHXNCHBRN4","Third","A2WGW5Y3ZFBDEC","Third","Yes","Third","Tue Dec 09 06:31:27 UTC 2014"
"38DCH97KHH3KUJADFO7HU1MNC3XJQ4","twine object most  annihilated traced leaf part righteous land","season  have  He of much you too both","basketball pro another of director fulltime a of load case","A2QLSHXNCHBRN4","Third","A2V3P1XE33NYC3","Third","Yes","Third","Tue Dec 09 06:01:22 UTC 2014"
"35NNO802AVX3WBDFHEU0E6CIUDKIN3","excellent slowly Heaven To groweth two 6 worthy resign dove","unexplained perfectly act met homer or several Why  two","since year a or genuine a upon called Syria of","A2QLSHXNCHBRN4","Third","A2WGW5Y3ZFBDEC","Third","Yes","Third","Tue Dec 09 06:07:24 UTC 2014"
"3Y3CZJSZ9KUCZLAS31SNYHDNQO3R5Q","hull also stay inclinations Elinor will go similitude Doth father","annoy it density  most Saxon apparently   Gregory","party the and batted run tracks car his in saw","A2V3P1XE33NYC3","Third","A2YAYHZYI7M3HD","Third","Yes","Third","Tue Dec 09 06:04:35 UTC 2014"
"3ZURAPD288OG8D40BJQHE2MNBKO1FO","Bursal boiling host And than wealth darker tongue appeared this","and you For Laos The were move repeated with","other the know even and Gamma Kappa of salary the","AIQ1I6ODSIO56","First","A2QH1BQA6GR48O","Second","No","no_agreement","Tue Dec 09 06:02:05 UTC 2014"
"36BTXXLZ2V9U326SPW9DTP79QS8R4L","John has suddenly Alice transgression Descends leader spirits blot reached","Congress countries origin 1952 express a textiles buying depravities church","local on taxes of member Each  skills basketball played","A2YAYHZYI7M3HD","First","A2QH1BQA6GR48O","Second","No","no_agreement","Tue Dec 09 06:02:12 UTC 2014"
"302OLP89DZ85ZPXQG0T9HXUNI12CAC","Cast His them your clear  disadvantage  From growing","and in minute   eye splendid night box No","the for Wagner Mayor The  tolerated be will He","A2V3P1XE33NYC3","First","A2YAYHZYI7M3HD","Second","No","no_agreement","Tue Dec 09 06:01:19 UTC 2014"
"3JY0Q5X05J7JQSQY4MH23AQ5EO6GG1","against butterfly while about hold crowns to who Don say","loosely Research of combinations were extra as As he in","a obtain to off double long year 13th his of","A2V3P1XE33NYC3","First","A2QLSHXNCHBRN4","Second","No","no_agreement","Tue Dec 09 06:00:27 UTC 2014"
"3V0TR1NRVA324LKBNLNRYZIZQOL4AR","CAN appeared flesh diligence readier sledge seeme polite thorn","A to represented someone down Platonic  the never","two  director CD the as fell Hogan Ben","A2YAYHZYI7M3HD","First","A2QLSHXNCHBRN4","Second","No","no_agreement","Tue Dec 09 06:04:33 UTC 2014"
"3GS542CVJVO6VLE69KS17WDTK2Y95M","grace far what every Anne glared  drawn ring","profound and reaches South  to that fall flux regular","to willing be must We   later in timed","A2YAYHZYI7M3HD","First","A2WGW5Y3ZFBDEC","Second","No","no_agreement","Tue Dec 09 06:35:48 UTC 2014"
"3CMIQF80GNR86OV6V5DSLXHIQXD6QL","knows hind a monarchies pang known will  Landlady save","Called track  brother He his love brought No paraded","not does plan The   worry you when","A2YAYHZYI7M3HD","First","A2QLSHXNCHBRN4","Second","No","no_agreement","Tue Dec 09 06:03:20 UTC 2014"
"3N2YPY1GI6Z4OBK2NMQ03883ONGEV8","we go sound examining that lighting particular harpoons in His","sheets while liberal reduced took could believe up activities take","ends week Last  week last Buckley Mr visited Mayor","A2QLSHXNCHBRN4","First","A2WGW5Y3ZFBDEC","Second","No","no_agreement","Tue Dec 09 06:36:07 UTC 2014"
"35JDMRECC4AL6EU7YRRE375T18RGEK","bending whilst this following admiration patiently slunk gracious manufactured indeed","against sharply and  of been responsible visits enough accomplishing","had He  here said he what matter No","A2QH1BQA6GR48O","First","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:02:25 UTC 2014"
"3PKJ68EHDNX7HQBAWYKNLNUMLG1HJ6","longer sharp original presented becometh He me observed voice Do","the box design human cows of defense suds But difficulty","MacDonald Malcolm  wife and Mr  bombing the","A2QLSHXNCHBRN4","First","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:03:52 UTC 2014"
"31S7M7DAGGR3HPQ5ZDDPFLA20Z0TLT","voice fled form summit unknown sing discovered Tory  From","is larger Since to beebread unbounded rational laundering Slowly He","6000 than more two  director CD the as fell","A2QLSHXNCHBRN4","First","A2QH1BQA6GR48O","Third","No","no_agreement","Tue Dec 09 06:05:31 UTC 2014"
"388FBO7JZRUPMBSKLWG30U66KWINYE","own Winter  a broken enough till remarkably noble use","to powers gone manner strong 1946  now their deserving","enjoy to application detailed now is  Zinman Jacques Mrs","A2QH1BQA6GR48O","First","AEVU71Z2FDTUX","Third","No","no_agreement","Tue Dec 09 05:59:35 UTC 2014"
"3CESM1J3EI4DQLRS7ECYDMZ4EYTW6E","lament Eve certain After breakfast wait unloose  your falsehood","be simulation  would fate the Russian local hand Crisis","Kelsey Ann Miss of president as well was there basketball","A2WGW5Y3ZFBDEC","First","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:36:36 UTC 2014"
"3RDTX9JRTY2LIPSPXD7Y5GRPB8T971","some themselves tower Kellynch himself third laboured Come avenue dark","of and ago It fools plain the the to be","party bundle a play spectacular a for expected is Newburger","A2QLSHXNCHBRN4","First","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:02:52 UTC 2014"
"3O0M2G5VC63OZ2A6VF9R247FK6394H","title slight So MY course And seem pass Shakespere","merely fingers a army Krims of by long alone their","sliced more two next the Wednesday reconsideration that head the","A2WGW5Y3ZFBDEC","First","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:32:19 UTC 2014"
"304QEQWKZPLA71WBE357NRCRYT8O0T","two ended having Good witnesses Nor thunderings  proving what","people military body The  again with smelling  the","the in lives their lending of intentions peaceloving the which","A2WGW5Y3ZFBDEC","First","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:37:35 UTC 2014"
"3VDVA3ILIDGMMD0VM3WZWNMZCZO1GN","shape bear one having restrained left To then connexions innocent","he   guilt balance  upperclass such for","influences political timely more is there far thus regime Barnett","A2WGW5Y3ZFBDEC","First","A2QLSHXNCHBRN4","Third","No","no_agreement","Tue Dec 09 06:32:44 UTC 2014"
"3MD8CKRQZZOK6KPDS3WHZRWS8PZJR5","most Greet remembered sanguinary  have he exists called space","an set 400 course fiction him Historically things send monstrous","reached quite is Quell Albert Mrs  track right ball","A2YAYHZYI7M3HD","First","A2WGW5Y3ZFBDEC","Third","No","no_agreement","Tue Dec 09 06:36:21 UTC 2014"
"3MVY4USGB6O0CO5KPABMD0MOHCSISF","gives slightly by 12 case makes Elliot sang Asiatic daughter","always acknowledged Church dark  his the be attempt statements","for million 700 totaling  business House A  championship","A2WGW5Y3ZFBDEC","First","A2YAYHZYI7M3HD","Third","No","no_agreement","Tue Dec 09 06:32:30 UTC 2014"
"32TMVRKDGNZOLXRWQN3D28C400L48N","boyish our 22 sojourned heard each as  a side","penalty as anode When  gospel of here yet The","Clipper Yankee The  week next the on back way","A2WGW5Y3ZFBDEC","First","A2YAYHZYI7M3HD","Third","No","no_agreement","Tue Dec 09 06:36:48 UTC 2014"
"37VHPF5VYC4RG14BJ29VL6OSSD2C88","deliver light laying guard hat chased other big hands terrific","for for the of moderately you A an a certain","of none viewpoint historic this Seeking  Club Democratic the","A2WGW5Y3ZFBDEC","First","A2YAYHZYI7M3HD","Third","No","no_agreement","Tue Dec 09 06:33:58 UTC 2014"
"38Z7YZ2SB33OZ8Q7X6MHI07NZO7IQQ","been very Menahem upon curtain bidding righteously different heads commandment","solve  president potent that canoe centimeter lighting world strength","Dey Joe including  Clipper Yankee The  week next","A2WGW5Y3ZFBDEC","First","A2QLSHXNCHBRN4","Third","No","no_agreement","Tue Dec 09 06:32:01 UTC 2014"
"3K1H3NEY7L0GE8G72WGUXPN81WQGDR","well with blunt ran turn 12 lay votes Dan though","combatinflicted a hopper south  moving artery loses to the","of session special a smell didnt really Nobody","A2QLSHXNCHBRN4","First","A2WGW5Y3ZFBDEC","Third","No","no_agreement","Tue Dec 09 06:37:21 UTC 2014"
"3OREP8RUT2CNZBINO0PO2ZZ8YBEGBK","multitudes said rivals 37 forth wit bulk hanging tender dragged","in and frequencies ready One this  turpentine move which","his in saw ever I  before pounds 200 to","A3Q92WMGIHEPSD","Second","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 05:58:22 UTC 2014"
"3V8JSVE8YYRLS5F7SXDKA7CX64IEYH","blunt 22 seek past act how twine object most","both Smug our of the the this and turn","to parolees between concerned is He   complementary","A2YAYHZYI7M3HD","Second","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:00:38 UTC 2014"
"3EHVO81VN5M0M9V669EHHNY0RZ11HM","discovering  eat naturalists stuck amongst in measureless want gathered","constantly It in sentence by the to are long on","establishment the of resumption a to million two the by","A2V3P1XE33NYC3","Second","A2YAYHZYI7M3HD","Third","No","no_agreement","Tue Dec 09 06:01:07 UTC 2014"
"3RIHDBQ1NEZXIYHVZVXF1FM3PAWHMA","eye Miss own how didst of singleness most Others Or","and in off notables making means charges  the appears","by efforts intensified amid source Department State Louisiana former a","AMUC6OI4A2GY4","Second","A2QLSHXNCHBRN4","Third","No","no_agreement","Tue Dec 09 05:58:16 UTC 2014"
"3087LXLJ6MHG1OJIF0MH0X3D6SIF0Z","mouldy Micaiah afterwards hands  preuent  speed how","will a was moreover Democrats is advisory luster nonracial most","the holds Clark Dr Miles 4911 at bill the reviewing","AEVU71Z2FDTUX","Second","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:02:42 UTC 2014"
"335HHSX8CD6UE4BIM2YCIPZ9GW3DHN","chide then  mead varied bucket must Pharaoh shame dat","we musical metal  era and forgiven about But antagonisms","Dey Joe including  Clipper Yankee The  week next","A2QLSHXNCHBRN4","Second","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:02:52 UTC 2014"
"3K1H3NEY7L0GE8G72WGUXPN81WQDGO","from attained of at path would receive sky right","a flesh or publishes  Again including the school","and College Northwestern the from word official an issued has","AMUC6OI4A2GY4","Second","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:02:34 UTC 2014"
"3L60IFZKF3JBQKGK8YH29AE78OXHH1","their Quebec  a vulture  proving what pressing provender","the him  who  the of regard opportunity giants","Eldon  Cardinals Louis St  night last audience home","A2WGW5Y3ZFBDEC","Second","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:00:17 UTC 2014"
"388CL5C1RJODCGZAZJW0127EP56HL8","they slide grows euery glint  Nehemiah  drawn shopkeeper","and her  her most  and there or earlier","played Nelson   schools dental 47 and  resolution","A2V3P1XE33NYC3","Second","A2WGW5Y3ZFBDEC","Third","No","no_agreement","Tue Dec 09 06:37:47 UTC 2014"
"306W7JMRYYZ86WC552D0AMIAAS1B8Z","despised say ominous real great some wild in AND piece","accusing 18 the United face it in openly","grand previous those or confirm to down boils which resolution","A2YAYHZYI7M3HD","Second","AMUC6OI4A2GY4","Third","No","no_agreement","Tue Dec 09 06:04:26 UTC 2014"
"3MZ3TAMYTLOOB957ALBHNQHSVA9IRR","eat palsy not committed fear same It hide","farther instead society earthquake at themselves invoke  in would","Us Louis Sen by Statements  bill the among reaction","A3ITZNJQUTIZ4C","Second","A2YAYHZYI7M3HD","Third","No","no_agreement","Tue Dec 09 06:01:32 UTC 2014"
"3WUVMVA7OB4I7I808EDHSVV8RJNZAX","perfumes As went 35 tell lifelessly  leg brotherhood racing","had as question  from and the to as awaited","now and selfish  firm engineering and Mays seasons","A2QLSHXNCHBRN4","Second","A2WGW5Y3ZFBDEC","Third","No","no_agreement","Tue Dec 09 06:32:54 UTC 2014"
"368IUKXGA59N6CURVSY3LSR8L1R6PU","In beheld will snatched At That Some high","of  phase back design  point Wide  funny","because  room reception small a hold will festivities indicate","A2YAYHZYI7M3HD","Second","A2QLSHXNCHBRN4","Third","No","no_agreement","Tue Dec 09 06:02:29 UTC 2014"
"3VGET1QSZ00WUL5XQOHQJ0Z099DW7D","bars   joke kept I manner pit say hung","agency such the the till opened the an to the","room reception small a hold will festivities indicate state the","A2QLSHXNCHBRN4","Second","A2V3P1XE33NYC3","Third","No","no_agreement","Tue Dec 09 06:06:00 UTC 2014"
"3U74KRR67MMT5PTQBQT4SDER5U0TNV","port upon Nevertheless could tiller be language limbs pay Reuels","to resorted to towns the  believe the organic","losing sofar the by ceasefire the over frustrated and Dallas","A2YAYHZYI7M3HD","Second","A2QLSHXNCHBRN4","Third","No","no_agreement","Tue Dec 09 06:04:45 UTC 2014""3ZZAYRN1I6SBNAT2C5TH72EWV49TOE","thou pledge your nothing  Came Joab Let Erskine how","by in calls the colt  draw strains to","Wexler subpoenas jury grand the against did they know I","A2HESXT4DAGASU","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:23:54 UTC 2014"
"3JHB4BPSFKAVO7X4TCG4578KGYP9Q3","deliver light laying guard hat chased other big hands terrific","for for the of moderately you A an a certain","of none viewpoint historic this Seeking  Club Democratic the","A1K9WP8Q74E9G2","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:21:05 UTC 2014"
"3LB1BGHFL2XNHOX4IS2F9TCY9E8YTU","voice fled form summit unknown sing discovered Tory  From","is larger Since to beebread unbounded rational laundering Slowly He","6000 than more two  director CD the as fell","A2HESXT4DAGASU","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:24:34 UTC 2014"
"3OJX0UFJ0Z8NG04LAL09F859JJV9U8","Cast His them your clear  disadvantage  From growing","and in minute   eye splendid night box No","the for Wagner Mayor The  tolerated be will He","A2WGW5Y3ZFBDEC","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:18:44 UTC 2014"
"3PKVGQTFIHLA19KCE3XK9EBGLTBYRH","we go sound examining that lighting particular harpoons in His","sheets while liberal reduced took could believe up activities take","ends week Last  week last Buckley Mr visited Mayor","A1K9WP8Q74E9G2","First","A2HESXT4DAGASU","First","Yes","First","Tue Dec 09 06:19:11 UTC 2014"
"3R6RZGK0XFD2UG1TNN2UAB0J6ZOYVA","formed litigious  speed  farther important shall recognised","safe and the we the   fine have","Geraghtys Mrs and local the involve mostly  reared","A2T5CROJ0FWIJY","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:22:59 UTC 2014"
"3D3B8GE892SAOVWPTZ1F52IAB239PC","so best been he beard unto here that circling Thaw","the still climbed the than found Lundy 75 back thanks","Kappa of salary the heard been had agreement An","A2HESXT4DAGASU","First","AIQ1I6ODSIO56","First","Yes","First","Tue Dec 09 06:23:02 UTC 2014"
"32TZXEA1OLL6AX7BR2UYNYPWMUJ417","mortal dust Blood friendly shall Barnabas all bread","of  the The the his the using  a","seasons previous two through broke and  hole par5 a","A2T5CROJ0FWIJY","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:22:16 UTC 2014"
"3LXX8KJXPWAS3VKOEZO0G2DK1X79OV","longer sharp original presented becometh He me observed voice Do","the box design human cows of defense suds But difficulty","MacDonald Malcolm  wife and Mr  bombing the","A2YAYHZYI7M3HD","First","AIQ1I6ODSIO56","First","Yes","First","Tue Dec 09 06:25:41 UTC 2014"
"3MIVREZQVHZF53GVX97TVGM0RS0QKD","own Winter  a broken enough till remarkably noble use","to powers gone manner strong 1946  now their deserving","enjoy to application detailed now is  Zinman Jacques Mrs","A2HESXT4DAGASU","First","A2YAYHZYI7M3HD","First","Yes","First","Tue Dec 09 06:24:58 UTC 2014"
"3Q2T3FD0ON9IOQAWKA8DXLLT65HM3B","from attained of at path would receive sky right","a flesh or publishes  Again including the school","and College Northwestern the from word official an issued has","A2HESXT4DAGASU","First","A2T5CROJ0FWIJY","First","Yes","First","Tue Dec 09 06:45:43 UTC 2014"
"3G5RUKN2EC4ALAKCDKON1DDFBN29NG","bending whilst this following admiration patiently slunk gracious manufactured indeed","against sharply and  of been responsible visits enough accomplishing","had He  here said he what matter No","A2HESXT4DAGASU","Second","AIQ1I6ODSIO56","Second","Yes","Second","Tue Dec 09 06:16:31 UTC 2014"
"3GMLHYZ0LEY2H1CTIXSPEPY0SSFYUL","eat palsy not committed fear same It hide","farther instead society earthquake at themselves invoke  in would","Us Louis Sen by Statements  bill the among reaction","A2HESXT4DAGASU","Second","AIQ1I6ODSIO56","Second","Yes","Second","Tue Dec 09 06:29:13 UTC 2014"
"3X2YVV51PU5IJZQV180HIQ8N6NHW1K","eat it usury pitched risen His Azriel  drawn","expose that refused a  of equal built him","of House the said Bourcier Mr party Democratic Some","A2YAYHZYI7M3HD","Second","AIQ1I6ODSIO56","Second","Yes","Second","Tue Dec 09 06:27:42 UTC 2014"
"3S1WOPCJFGUVXGK86XCH0KX9T0CJEV","chide then  mead varied bucket must Pharaoh shame dat","we musical metal  era and forgiven about But antagonisms","Dey Joe including  Clipper Yankee The  week next","A15NH461BKAYCX","Second","A2YAYHZYI7M3HD","Second","Yes","Second","Tue Dec 09 06:27:28 UTC 2014"
"3R15W654VDUQP9YDI9JUAGZFGS5QLG","against butterfly while about hold crowns to who Don say","loosely Research of combinations were extra as As he in","a obtain to off double long year 13th his of","A2HESXT4DAGASU","Second","AIQ1I6ODSIO56","Second","Yes","Second","Tue Dec 09 06:26:42 UTC 2014"
"3VGZ74AYTGH69GAT20LJDJ5QGWIGCV","been very Menahem upon curtain bidding righteously different heads commandment","solve  president potent that canoe centimeter lighting world strength","Dey Joe including  Clipper Yankee The  week next","A2T5CROJ0FWIJY","Second","AIQ1I6ODSIO56","Second","Yes","Second","Tue Dec 09 06:28:43 UTC 2014"
"3YGE63DIN8YICA5D5PWH4LPD1VBW0H","lament Eve certain After breakfast wait unloose  your falsehood","be simulation  would fate the Russian local hand Crisis","Kelsey Ann Miss of president as well was there basketball","A1K9WP8Q74E9G2","Second","AIQ1I6ODSIO56","Second","Yes","Second","Tue Dec 09 06:27:56 UTC 2014"
"39WICJI5ATTINX9FZZY75NH2L903ZA","Bursal boiling host And than wealth darker tongue appeared this","and you For Laos The were move repeated with","other the know even and Gamma Kappa of salary the","A149ROBL26JWPJ","Second","A2HESXT4DAGASU","Second","Yes","Second","Tue Dec 09 06:29:01 UTC 2014"
"3PKJ68EHDNX7HQBAWYKNLNUMLG4JHB","eye Miss own how didst of singleness most Others Or","and in off notables making means charges  the appears","by efforts intensified amid source Department State Louisiana former a","A2HESXT4DAGASU","Third","AIQ1I6ODSIO56","Third","Yes","Third","Tue Dec 09 06:23:17 UTC 2014"
"3CMIQF80GNR86OV6V5DSLXHIQXH6QP","CAN appeared flesh diligence readier sledge seeme polite thorn","A to represented someone down Platonic  the never","two  director CD the as fell Hogan Ben","A2T5CROJ0FWIJY","Third","AIQ1I6ODSIO56","Third","Yes","Third","Tue Dec 09 06:19:40 UTC 2014"
